noiseStandardDeviationNT,averageNT,min,max,noiseStandardDeviationT,averageT,Signal,SNR,Probability
34.3,20673,20591,20740,1008.8,49624,28951,8.98,3.09

No.,dataNT,dataT
1,20697,46255
2,20697,46318
3,20740,49297
4,20740,49506
5,20740,49551
6,20740,50117
7,20706,50610
8,20706,50550
9,20706,50497
10,20704,50497
11,20704,50497
12,20704,50992
13,20718,50992
14,20718,50992
15,20718,50992
16,20719,50996
17,20708,50996
18,20708,50996
19,20708,49760
20,20673,49072
21,20673,48710
22,20673,48861
23,20676,48861
24,20676,48861
25,20676,48896
26,20676,48896
27,20658,48896
28,20658,49207
29,20658,49207
30,20653,49207
31,20653,49503
32,20653,49503
33,20658,49503
34,20658,49700
35,20658,49700
36,20684,49700
37,20656,49836
38,20687,49836
39,20687,49836
40,20687,49836
41,20687,50810
42,20667,50810
43,20667,50810
44,20667,50871
45,20670,50871
46,20670,50871
47,20670,50871
48,20674,50889
49,20674,50889
50,20674,50889
51,20687,50930
52,20687,50930
53,20687,50930
54,20684,50261
55,20684,50261
56,20684,50261
57,20676,50056
58,20676,50056
59,20676,50056
60,20669,48093
61,20669,48166
62,20669,48166
63,20703,48166
64,20703,48199
65,20703,48199
66,20703,48199
67,20699,48013
68,20699,48013
69,20683,48013
70,20689,48013
71,20689,48253
72,20689,48253
73,20688,48253
74,20688,49017
75,20688,49017
76,20688,49017
77,20651,49192
78,20637,49192
79,20637,49192
80,20637,49795
81,20613,49643
82,20611,49643
83,20611,49643
84,20611,49643
85,20591,49679
86,20591,49679
87,20591,49679
88,20624,49810
89,20624,49810
90,20624,49810
91,20608,49937
92,20608,49937
93,20608,49937
94,20647,50031
95,20632,50031
96,20632,50031
97,20632,49584
98,20702,49697
99,20702,49697
100,20702,49697
